target,template,permutation,n,macro_f1,accuracy,qwk,ci_low,ci_high
T4,P1,cycle_231,474,0.41349052540913006,0.5738396624472574,0.2866724294150116,0.3801435664488374,0.442745082411417
T4,P1,cycle_312,474,0.21627628281947922,0.44936708860759494,0.011343676814988268,0.1974206349206349,0.2429374043890173
T4,P1,identity,474,0.3907639478630321,0.45569620253164556,0.4013673409820607,0.3511457894817648,0.4285595952251803
T4,P1,perm_132,474,0.3645446507515473,0.4767932489451477,0.3920453102379804,0.3284662324646463,0.39831908213101186
T4,P1,perm_213,474,0.3808894058183281,0.4641350210970464,0.28137020480299413,0.3484251502792499,0.41151400125755166
T4,P1,perm_321,474,0.20632603406326033,0.4472573839662447,0.0056917808847964935,0.1956719304753325,0.21659810126582277
T4,P2,cycle_231,474,0.3483772540322898,0.45569620253164556,0.11433989625746,0.3156627033667937,0.3797869310872634
T4,P2,cycle_312,474,0.23179352933910713,0.45147679324894513,0.021067441063472914,0.20529106123654958,0.26404026718628326
T4,P2,identity,474,0.3991708933291071,0.41561181434599154,0.25984418240216955,0.3522747139936227,0.4443041745089661
T4,P2,perm_132,474,0.32918154806566824,0.4177215189873418,0.29417061064296435,0.2955246928201942,0.3607260289982486
T4,P2,perm_213,474,0.291814238902622,0.35232067510548526,0.0626593449696019,0.25443400899709245,0.32713516290772376
T4,P2,perm_321,474,0.23172221585143657,0.45147679324894513,0.007972034321514387,0.20798204195671924,0.2613793661463865
